,Daylen,Precip,Radiation,Maxtemp,Mintemp,Pressure,Latitude,Longitude
0,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80678062,-122.3225938
0,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80678062,-122.3225938
1,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80614989,-122.32231000000002
1,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80614989,-122.32231000000002
2,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80642014,-122.3223008
2,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80642014,-122.3223008
3,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80587979999999,-122.32229879999998
3,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.80587979999999,-122.32229879999998
4,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80668898,-122.32226709999999
4,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80668898,-122.32226709999999
5,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80671982,-122.32226170000001
5,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80671982,-122.32226170000001
6,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.8056125,-122.3222506
6,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.8056125,-122.3222506
7,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80547545,-122.3222086
7,43223.60655737705,1.6967213114754098,345.7049186373018,21.121584699453553,11.453551912568306,921.2021857923497,37.80547545,-122.3222086
8,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80690666,-122.3221959
8,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80690666,-122.3221959
9,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80535556,-122.32214590000001
9,43223.60655737705,1.6967213114754098,345.7049186373018,21.121584699453553,11.453551912568306,921.2021857923497,37.80535556,-122.32214590000001
10,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80715744,-122.3220693
10,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.80715744,-122.3220693
11,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80510933,-122.32200559999998
11,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80510933,-122.32200559999998
12,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80739334,-122.3219043
12,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.80739334,-122.3219043
13,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80487754,-122.3218307
13,43223.60655737705,1.7759562841530054,348.1967216658462,20.59426229508197,11.153005464480874,905.1366120218579,37.80487754,-122.3218307
14,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80760926,-122.32169990000001
14,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80760926,-122.32169990000001
15,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80466038,-122.32162790000001
15,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80466038,-122.32162790000001
16,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80779813,-122.32145619999999
16,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80779813,-122.32145619999999
17,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.804467700000004,-122.32138940000002
17,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.804467700000004,-122.32138940000002
18,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.807951200000005,-122.3211763
18,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.807951200000005,-122.3211763
19,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80429552,-122.32112690000001
19,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80429552,-122.32112690000001
20,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80807,-122.3208707
20,43223.60655737705,1.7759562841530054,348.1967216658462,20.59426229508197,11.153005464480874,905.1366120218579,37.80807,-122.3208707
21,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80415537,-122.3208362
21,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80415537,-122.3208362
22,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80816167,-122.32055020000001
22,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80816167,-122.32055020000001
23,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80403468,-122.32053119999999
23,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80403468,-122.32053119999999
24,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80825057,-122.32022830000001
24,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80825057,-122.32022830000001
25,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80393044,-122.3202169
25,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.80393044,-122.3202169
26,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80833904,-122.31990630000001
26,43223.60655737705,1.4289617486338797,342.5486336171301,21.240437158469945,11.602459016393443,921.639344262295,37.80833904,-122.31990630000001
27,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80382775,-122.31990159999998
27,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80382775,-122.31990159999998
28,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80372506,-122.3195864
28,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80372506,-122.3195864
29,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80842726,-122.3195842
29,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80842726,-122.3195842
30,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80362236,-122.3192711
30,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80362236,-122.3192711
31,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80851549,-122.31926200000001
31,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80851549,-122.31926200000001
32,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80351963,-122.3189559
32,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.80351963,-122.3189559
33,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80860372,-122.3189399
33,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80860372,-122.3189399
34,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80341686,-122.31864070000002
34,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80341686,-122.31864070000002
35,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80869194,-122.31861770000002
35,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80869194,-122.31861770000002
36,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.8033141,-122.31832549999999
36,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.8033141,-122.31832549999999
37,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80878016,-122.3182956
37,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80878016,-122.3182956
38,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80321133,-122.31801029999998
38,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.80321133,-122.31801029999998
39,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80886509,-122.3179722
39,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.80886509,-122.3179722
40,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80310856,-122.3176951
40,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80310856,-122.3176951
41,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80892452,-122.3176402
41,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80892452,-122.3176402
42,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.803005799999994,-122.3173799
42,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.803005799999994,-122.3173799
43,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80895655,-122.3173019
43,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80895655,-122.3173019
44,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80290303,-122.31706470000002
44,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80290303,-122.31706470000002
45,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80896615,-122.31696140000001
45,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.80896615,-122.31696140000001
46,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80280026,-122.31674950000001
46,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.80280026,-122.31674950000001
47,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80894921,-122.3166213
47,43223.60655737705,1.6967213114754098,345.7049186373018,21.121584699453553,11.453551912568306,921.2021857923497,37.80894921,-122.3166213
48,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80269749,-122.31643429999998
48,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80269749,-122.31643429999998
49,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80892582,-122.3162818
49,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80892582,-122.3162818
50,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80259472,-122.3161192
50,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80259472,-122.3161192
51,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80889545,-122.3159432
51,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80889545,-122.3159432
52,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80249194,-122.315804
52,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80249194,-122.315804
53,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.808863,-122.31560490000001
53,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.808863,-122.31560490000001
54,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80238917,-122.3154888
54,43223.60655737705,1.7759562841530054,348.1967216658462,20.59426229508197,11.153005464480874,905.1366120218579,37.80238917,-122.3154888
55,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80883055,-122.3152665
55,43223.60655737705,1.7759562841530054,348.1967216658462,20.59426229508197,11.153005464480874,905.1366120218579,37.80883055,-122.3152665
56,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80888174,-122.31519979999999
56,43223.60655737705,1.7759562841530054,348.1967216658462,20.59426229508197,11.153005464480874,905.1366120218579,37.80888174,-122.31519979999999
57,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.8022864,-122.31517360000001
57,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.8022864,-122.31517360000001
58,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80883011,-122.3151649
58,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80883011,-122.3151649
59,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80906969,-122.3149548
59,43223.60655737705,1.4289617486338797,342.5486336171301,21.240437158469945,11.602459016393443,921.639344262295,37.80906969,-122.3149548
60,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80878134,-122.3149314
60,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.80878134,-122.3149314
61,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80218362,-122.3148584
61,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.80218362,-122.3148584
62,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80882866,-122.3148241
62,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80882866,-122.3148241
63,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80926578,-122.31472040000001
63,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80926578,-122.31472040000001
64,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80874277,-122.3145943
64,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80874277,-122.3145943
65,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80208084,-122.3145432
65,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.80208084,-122.3145432
66,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80947338,-122.3145021
66,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80947338,-122.3145021
67,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80880911,-122.31448449999999
67,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80880911,-122.31448449999999
68,43223.60655737705,1.592896174863388,342.6448082845719,20.833333333333332,11.519125683060109,922.1857923497267,37.80968097,-122.3142837
68,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80968097,-122.3142837
69,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80871397,-122.31425549999999
69,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.80871397,-122.31425549999999
70,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80197807,-122.314228
70,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80197807,-122.314228
71,43223.60655737705,1.650273224043716,341.83169418084816,20.744535519125684,11.528688524590164,922.0765027322404,37.80878723,-122.3141449
71,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80878723,-122.3141449
72,43223.60655737705,1.592896174863388,342.6448082845719,20.833333333333332,11.519125683060109,922.1857923497267,37.80988856,-122.3140654
72,43223.60655737705,1.4289617486338797,342.5486336171301,21.240437158469945,11.602459016393443,921.639344262295,37.80988856,-122.3140654
73,43223.60655737705,1.592896174863388,342.6448082845719,20.833333333333332,11.519125683060109,922.1857923497267,37.80869542,-122.31391550000001
73,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.80869542,-122.31391550000001
74,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80187529,-122.3139128
74,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.80187529,-122.3139128
75,43223.60655737705,1.592896174863388,342.6448082845719,20.833333333333332,11.519125683060109,922.1857923497267,37.81009615,-122.313847
75,43223.60655737705,1.7759562841530054,348.1967216658462,20.59426229508197,11.153005464480874,905.1366120218579,37.81009615,-122.313847
76,43223.60655737705,1.592896174863388,342.6448082845719,20.833333333333332,11.519125683060109,922.1857923497267,37.80877259,-122.31380459999998
76,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80877259,-122.31380459999998
77,43223.60655737705,1.592896174863388,342.6448082845719,20.833333333333332,11.519125683060109,922.1857923497267,37.81030375,-122.31362859999999
77,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.81030375,-122.31362859999999
78,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80177251,-122.31359760000001
78,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80177251,-122.31359760000001
79,43223.60655737705,1.592896174863388,342.6448082845719,20.833333333333332,11.519125683060109,922.1857923497267,37.80866826,-122.3135764
79,43223.60655737705,1.4754098360655739,343.56284153005464,21.284153005464482,11.617486338797814,922.6229508196722,37.80866826,-122.3135764
80,43223.60655737705,1.592896174863388,342.6448082845719,20.833333333333332,11.519125683060109,922.1857923497267,37.80875306,-122.31346470000001
80,43223.60655737705,1.7759562841530054,348.1967216658462,20.59426229508197,11.153005464480874,905.1366120218579,37.80875306,-122.31346470000001
81,43223.60655737705,1.592896174863388,342.6448082845719,20.833333333333332,11.519125683060109,922.1857923497267,37.81051036,-122.3134088
81,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.81051036,-122.3134088
82,43223.60655737705,1.592896174863388,342.6448082845719,20.833333333333332,11.519125683060109,922.1857923497267,37.810532,-122.31334
82,43223.60655737705,1.4289617486338797,342.5486336171301,21.240437158469945,11.602459016393443,921.639344262295,37.810532,-122.31334
83,43223.60655737705,1.5737704918032787,340.8699447965361,20.65983606557377,11.573770491803279,921.639344262295,37.80166973,-122.3132824
83,43223.60655737705,1.5737704918032787,344.8743171900348,21.258196721311474,11.527322404371585,919.4535519125683,37.80166973,-122.3132824
84,43223.60655737705,1.592896174863388,342.6448082845719,20.833333333333332,11.519125683060109,922.1857923497267,37.80863402,-122.3132384
84,43223.60655737705,1.5191256830601092,344.1049175158224,21.278688524590162,11.59016393442623,921.8579234972677,37.80863402,-122.3132384
85,43223.60655737705,1.592896174863388,342.6448082845719,20.833333333333332,11.519125683060109,922.1857923497267,37.81071568,-122.31318710000001
